,siteID,statistic,forecast,data_assimilation,time,nee,le,vswc
1,BART,mean,1,0,2/1/2021,0.842785987,12.40602745,0
2,KONZ,mean,1,0,2/1/2021,0.365766184,11.04692263,0.220528484
3,OSBS,mean,1,0,2/1/2021,-1.38369994,46.77556764,NaN
4,SRER,mean,1,0,2/1/2021,-0.719761725,44.36595861,NaN
5,BART,mean,1,0,2/2/2021,0.842785987,12.40602745,0
6,KONZ,mean,1,0,2/2/2021,0.365766184,11.04692263,0.220528484
7,OSBS,mean,1,0,2/2/2021,-1.38369994,46.77556764,NaN
8,SRER,mean,1,0,2/2/2021,-0.719761725,44.36595861,NaN
9,BART,mean,1,0,2/3/2021,0.842785987,12.40602745,0
10,KONZ,mean,1,0,2/3/2021,0.365766184,11.04692263,0.220528484
11,OSBS,mean,1,0,2/3/2021,-1.38369994,46.77556764,NaN
12,SRER,mean,1,0,2/3/2021,-0.719761725,44.36595861,NaN
13,BART,mean,1,0,2/4/2021,0.842785987,12.40602745,0
14,KONZ,mean,1,0,2/4/2021,0.365766184,11.04692263,0.220528484
15,OSBS,mean,1,0,2/4/2021,-1.38369994,46.77556764,NaN
16,SRER,mean,1,0,2/4/2021,-0.719761725,44.36595861,NaN
17,BART,mean,1,0,2/5/2021,0.842785987,12.40602745,0
18,KONZ,mean,1,0,2/5/2021,0.365766184,11.04692263,0.220528484
19,OSBS,mean,1,0,2/5/2021,-1.38369994,46.77556764,NaN
20,SRER,mean,1,0,2/5/2021,-0.719761725,44.36595861,NaN
21,BART,mean,1,0,2/6/2021,0.842785987,12.40602745,0
22,KONZ,mean,1,0,2/6/2021,0.365766184,11.04692263,0.220528484
23,OSBS,mean,1,0,2/6/2021,-1.38369994,46.77556764,NaN
24,SRER,mean,1,0,2/6/2021,-0.719761725,44.36595861,NaN
25,BART,mean,1,0,2/7/2021,0.842785987,12.40602745,0
26,KONZ,mean,1,0,2/7/2021,0.365766184,11.04692263,0.220528484
27,OSBS,mean,1,0,2/7/2021,-1.38369994,46.77556764,NaN
28,SRER,mean,1,0,2/7/2021,-0.719761725,44.36595861,NaN
29,BART,mean,1,0,2/8/2021,0.842785987,12.40602745,0
30,KONZ,mean,1,0,2/8/2021,0.365766184,11.04692263,0.220528484
31,OSBS,mean,1,0,2/8/2021,-1.38369994,46.77556764,NaN
32,SRER,mean,1,0,2/8/2021,-0.719761725,44.36595861,NaN
33,BART,mean,1,0,2/9/2021,0.842785987,12.40602745,0
34,KONZ,mean,1,0,2/9/2021,0.365766184,11.04692263,0.220528484
35,OSBS,mean,1,0,2/9/2021,-1.38369994,46.77556764,NaN
36,SRER,mean,1,0,2/9/2021,-0.719761725,44.36595861,NaN
37,BART,mean,1,0,2/10/2021,0.842785987,12.40602745,0
38,KONZ,mean,1,0,2/10/2021,0.365766184,11.04692263,0.220528484
39,OSBS,mean,1,0,2/10/2021,-1.38369994,46.77556764,NaN
40,SRER,mean,1,0,2/10/2021,-0.719761725,44.36595861,NaN
41,BART,mean,1,0,2/11/2021,0.842785987,12.40602745,0
42,KONZ,mean,1,0,2/11/2021,0.365766184,11.04692263,0.220528484
43,OSBS,mean,1,0,2/11/2021,-1.38369994,46.77556764,NaN
44,SRER,mean,1,0,2/11/2021,-0.719761725,44.36595861,NaN
45,BART,mean,1,0,2/12/2021,0.842785987,12.40602745,0
46,KONZ,mean,1,0,2/12/2021,0.365766184,11.04692263,0.220528484
47,OSBS,mean,1,0,2/12/2021,-1.38369994,46.77556764,NaN
48,SRER,mean,1,0,2/12/2021,-0.719761725,44.36595861,NaN
49,BART,mean,1,0,2/13/2021,0.842785987,12.40602745,0
50,KONZ,mean,1,0,2/13/2021,0.365766184,11.04692263,0.220528484
51,OSBS,mean,1,0,2/13/2021,-1.38369994,46.77556764,NaN
52,SRER,mean,1,0,2/13/2021,-0.719761725,44.36595861,NaN
53,BART,mean,1,0,2/14/2021,0.842785987,12.40602745,0
54,KONZ,mean,1,0,2/14/2021,0.365766184,11.04692263,0.220528484
55,OSBS,mean,1,0,2/14/2021,-1.38369994,46.77556764,NaN
56,SRER,mean,1,0,2/14/2021,-0.719761725,44.36595861,NaN
57,BART,mean,1,0,2/15/2021,0.842785987,12.40602745,0
58,KONZ,mean,1,0,2/15/2021,0.365766184,11.04692263,0.220528484
59,OSBS,mean,1,0,2/15/2021,-1.38369994,46.77556764,NaN
60,SRER,mean,1,0,2/15/2021,-0.719761725,44.36595861,NaN
61,BART,mean,1,0,2/16/2021,0.842785987,12.40602745,0
62,KONZ,mean,1,0,2/16/2021,0.365766184,11.04692263,0.220528484
63,OSBS,mean,1,0,2/16/2021,-1.38369994,46.77556764,NaN
64,SRER,mean,1,0,2/16/2021,-0.719761725,44.36595861,NaN
65,BART,mean,1,0,2/17/2021,0.842785987,12.40602745,0
66,KONZ,mean,1,0,2/17/2021,0.365766184,11.04692263,0.220528484
67,OSBS,mean,1,0,2/17/2021,-1.38369994,46.77556764,NaN
68,SRER,mean,1,0,2/17/2021,-0.719761725,44.36595861,NaN
69,BART,mean,1,0,2/18/2021,0.842785987,12.40602745,0
70,KONZ,mean,1,0,2/18/2021,0.365766184,11.04692263,0.220528484
71,OSBS,mean,1,0,2/18/2021,-1.38369994,46.77556764,NaN
72,SRER,mean,1,0,2/18/2021,-0.719761725,44.36595861,NaN
73,BART,mean,1,0,2/19/2021,0.842785987,12.40602745,0
74,KONZ,mean,1,0,2/19/2021,0.365766184,11.04692263,0.220528484
75,OSBS,mean,1,0,2/19/2021,-1.38369994,46.77556764,NaN
76,SRER,mean,1,0,2/19/2021,-0.719761725,44.36595861,NaN
77,BART,mean,1,0,2/20/2021,0.842785987,12.40602745,0
78,KONZ,mean,1,0,2/20/2021,0.365766184,11.04692263,0.220528484
79,OSBS,mean,1,0,2/20/2021,-1.38369994,46.77556764,NaN
