"week","site","neon","nee_day.avg","nee_day.upper","nee_day.lower"
 1,"Harvard","BART", 1.377218956, 1.449174984, 1.305262928
 2,"Harvard","BART", 1.299008557, 1.367679788, 1.230337326
 3,"Harvard","BART", 1.284862430, 1.361779030, 1.207945831
 4,"Harvard","BART", 1.268903686, 1.354653661, 1.183153710
 5,"Harvard","BART", 1.470668128, 1.628933023, 1.312403232
 6,"Harvard","BART", 1.521742331, 1.667303466, 1.376181195
 7,"Harvard","BART", 1.602874300, 1.747933717, 1.457814882
 8,"Harvard","BART", 1.769733881, 1.971003841, 1.568463920
 9,"Harvard","BART", 1.769174969, 1.977180786, 1.561169151
10,"Harvard","BART", 1.771799696, 1.979595268, 1.564004124
11,"Harvard","BART", 1.601873886, 1.779935854, 1.423811917
12,"Harvard","BART", 0.922200801, 1.013039072, 0.831362531
13,"Harvard","BART", 0.705879684, 0.786396457, 0.625362912
14,"Harvard","BART", 0.636663152, 0.706375602, 0.566950701
15,"Harvard","BART", 0.450615858, 0.533986718, 0.367244998
16,"Harvard","BART", 0.482794386, 0.584373356, 0.381215417
17,"Harvard","BART", 0.735463603, 0.874318024, 0.596609182
18,"Harvard","BART", 0.750917544, 0.882620577, 0.619214510
19,"Harvard","BART",-0.097756109, 0.092959132,-0.288471350
20,"Harvard","BART",-0.904589448,-0.690953905,-1.118224991
21,"Harvard","BART",-1.375254947,-1.054137337,-1.696372557
22,"Harvard","BART",-4.048190905,-3.609810534,-4.486571277
23,"Harvard","BART",-5.462865396,-5.091607158,-5.834123633
24,"Harvard","BART",-7.093382148,-6.644783921,-7.541980375
25,"Harvard","BART",-7.103107844,-6.658960647,-7.547255041
26,"Harvard","BART",-6.699963059,-6.226175576,-7.173750543
27,"Harvard","BART",-6.683728456,-6.185702621,-7.181754290
28,"Harvard","BART",-7.664318037,-7.173379357,-8.155256718
29,"Harvard","BART",-7.261049816,-6.795087680,-7.727011952
30,"Harvard","BART",-7.645940854,-7.183467195,-8.108414513
31,"Harvard","BART",-7.354722385,-6.942238150,-7.767206621
32,"Harvard","BART",-7.539998676,-7.103006341,-7.976991011
33,"Harvard","BART",-7.482977068,-7.087518705,-7.878435431
34,"Harvard","BART",-8.162968903,-7.752833594,-8.573104213
35,"Harvard","BART",-7.868419217,-7.438729275,-8.298109159
36,"Harvard","BART",-5.845541716,-5.419107176,-6.271976257
37,"Harvard","BART",-5.640495823,-5.205080094,-6.075911552
38,"Harvard","BART",-5.507926450,-5.095481905,-5.920370995
39,"Harvard","BART",-3.927480887,-3.596855736,-4.258106038
40,"Harvard","BART",-2.908352099,-2.634920861,-3.181783336
41,"Harvard","BART",-1.287296423,-1.095728676,-1.478864169
42,"Harvard","BART", 0.065549817, 0.227818682,-0.096719049
43,"Harvard","BART", 0.651825372, 0.788016655, 0.515634088
44,"Harvard","BART", 1.030165744, 1.144749928, 0.915581561
45,"Harvard","BART", 1.111699781, 1.222307531, 1.001092032
46,"Harvard","BART", 1.344430136, 1.443810342, 1.245049929
47,"Harvard","BART", 1.596551073, 1.670150159, 1.522951988
48,"Harvard","BART", 1.709798065, 1.800825251, 1.618770879
49,"Harvard","BART", 1.734460953, 1.830075902, 1.638846004
50,"Harvard","BART", 1.528215969, 1.627304343, 1.429127594
51,"Harvard","BART", 1.526740776, 1.622492537, 1.430989014
52,"Harvard","BART", 1.733788184, 1.886218279, 1.581358089
53,"Harvard","BART", 2.394860667, 2.811965591, 1.977755743
 1,"ARM","KONZ", 0.623160354, 0.776745979, 0.469574729
 2,"ARM","KONZ", 0.497135596, 0.626930748, 0.367340443
 3,"ARM","KONZ", 0.489076094, 0.580927971, 0.397224217
 4,"ARM","KONZ", 0.509096310, 0.609427229, 0.408765391
 5,"ARM","KONZ", 0.470441999, 0.596221843, 0.344662156
 6,"ARM","KONZ", 0.478744270, 0.599140789, 0.358347750
 7,"ARM","KONZ", 0.553741164, 0.694255944, 0.413226384
 8,"ARM","KONZ", 0.562337780, 0.691348802, 0.433326757
 9,"ARM","KONZ", 0.486268561, 0.625872114, 0.346665008
10,"ARM","KONZ", 0.860294726, 0.973308981, 0.747280472
11,"ARM","KONZ", 0.716284893, 0.809868750, 0.622701037
