"week","site","neon","nee_night.avg","nee_night.upper","nee_night.lower"
 1,"Harvard","BART", 1.4149153670, 1.4572100792, 1.3726206548
 2,"Harvard","BART", 1.4608477537, 1.5228145180, 1.3988809895
 3,"Harvard","BART", 1.5063259707, 1.5759897190, 1.4366622224
 4,"Harvard","BART", 1.4423781531, 1.5077134240, 1.3770428822
 5,"Harvard","BART", 1.3498649686, 1.4153057742, 1.2844241630
 6,"Harvard","BART", 1.5319810556, 1.6502827190, 1.4136793921
 7,"Harvard","BART", 1.8283924001, 2.0179697880, 1.6388150123
 8,"Harvard","BART", 1.8390802509, 1.9962810071, 1.6818794946
 9,"Harvard","BART", 1.7444273219, 1.8957131435, 1.5931415003
10,"Harvard","BART", 1.7265521034, 1.8777853054, 1.5753189014
11,"Harvard","BART", 1.7784151370, 1.9003162010, 1.6565140729
12,"Harvard","BART", 1.6374276552, 1.7203359382, 1.5545193721
13,"Harvard","BART", 1.7265734974, 1.7841634534, 1.6689835413
14,"Harvard","BART", 1.7295885661, 1.7920276062, 1.6671495259
15,"Harvard","BART", 1.8907155932, 1.9599206908, 1.8215104955
16,"Harvard","BART", 2.2328227151, 2.3143932791, 2.1512521510
17,"Harvard","BART", 2.8693408676, 2.9789740213, 2.7597077139
18,"Harvard","BART", 3.5719014095, 3.7357294593, 3.4080733598
19,"Harvard","BART", 3.6972429163, 3.8259346286, 3.5685512040
20,"Harvard","BART", 4.1645778433, 4.3377657244, 3.9913899622
21,"Harvard","BART", 4.5682295803, 4.7211245833, 4.4153345774
22,"Harvard","BART", 4.8286044849, 4.9900521159, 4.6671568539
23,"Harvard","BART", 4.6021071673, 4.8000120137, 4.4042023209
24,"Harvard","BART", 4.3684716734, 4.5067252066, 4.2302181402
25,"Harvard","BART", 4.8391892084, 5.0379857811, 4.6403926358
26,"Harvard","BART", 5.6199655304, 5.9481648261, 5.2917662348
27,"Harvard","BART", 5.9279315289, 6.1700519727, 5.6858110850
28,"Harvard","BART", 5.8232387189, 6.0311818895, 5.6152955483
29,"Harvard","BART", 5.2452778749, 5.4222367438, 5.0683190060
30,"Harvard","BART", 4.9892805335, 5.1956909085, 4.7828701585
31,"Harvard","BART", 4.6640670310, 4.7833634190, 4.5447706429
32,"Harvard","BART", 4.6434477109, 4.7622156826, 4.5246797393
33,"Harvard","BART", 4.3921338162, 4.5298130506, 4.2544545818
34,"Harvard","BART", 4.3713211473, 4.5091517629, 4.2334905318
35,"Harvard","BART", 4.0482960258, 4.1581942122, 3.9383978394
36,"Harvard","BART", 3.8320492490, 3.9386502343, 3.7254482638
37,"Harvard","BART", 3.8166506224, 3.9613487345, 3.6719525103
38,"Harvard","BART", 3.7290272617, 3.8438503432, 3.6142041802
39,"Harvard","BART", 3.5945768621, 3.6818566167, 3.5072971075
40,"Harvard","BART", 3.3454497134, 3.4417573119, 3.2491421148
41,"Harvard","BART", 3.0858882244, 3.1804716629, 2.9913047859
42,"Harvard","BART", 2.7533236796, 2.8344814233, 2.6721659358
43,"Harvard","BART", 2.5919909405, 2.6878863797, 2.4960955014
44,"Harvard","BART", 2.4504571490, 2.5341320480, 2.3667822500
45,"Harvard","BART", 2.5289662566, 2.6080539525, 2.4498785606
46,"Harvard","BART", 2.2527817111, 2.3328607397, 2.1727026824
47,"Harvard","BART", 2.2305983667, 2.3121221441, 2.1490745892
48,"Harvard","BART", 2.2946993668, 2.3806621853, 2.2087365484
49,"Harvard","BART", 1.9661361126, 2.0477285943, 1.8845436310
50,"Harvard","BART", 1.7103949937, 1.7934355969, 1.6273543904
51,"Harvard","BART", 1.6514828698, 1.7444814945, 1.5584842451
52,"Harvard","BART", 1.6443565593, 1.7376365081, 1.5510766105
53,"Harvard","BART", 1.9100636795, 2.0994032327, 1.7207241262
 1,"ARM","KONZ", 0.9783880033, 1.0751600558, 0.8816159509
 2,"ARM","KONZ", 0.9882047817, 1.0826147958, 0.8937947677
 3,"ARM","KONZ", 0.9408106598, 1.0467397849, 0.8348815347
 4,"ARM","KONZ", 0.8627429206, 0.9891751523, 0.7363106890
 5,"ARM","KONZ", 0.8830028518, 1.0045513678, 0.7614543357
 6,"ARM","KONZ", 0.8528537265, 0.9819506419, 0.7237568111
 7,"ARM","KONZ", 0.9482426296, 1.0598093763, 0.8366758830
 8,"ARM","KONZ", 0.9266132480, 1.0428759989, 0.8103504971
 9,"ARM","KONZ", 0.9676868491, 1.0793980765, 0.8559756217
10,"ARM","KONZ", 1.2910979033, 1.4109415254, 1.1712542811
11,"ARM","KONZ", 1.3152976205, 1.3896052716, 1.2409899695
12,"ARM","KONZ", 1.4339728903, 1.5188346804, 1.3491111002
13,"ARM","KONZ", 1.4737789444, 1.5708519716, 1.3767059173
14,"ARM","KONZ", 1.9761015459, 2.0852167519, 1.8669863398
15,"ARM","KONZ", 2.2829668954, 2.3401955580, 2.2257382328
16,"ARM","KONZ", 2.6267485190, 2.8095819432, 2.4439150947
17,"ARM","KONZ", 2.6449060074, 2.8013029586, 2.4885090563
18,"ARM","KONZ", 3.2821605551, 3.4243283563, 3.1399927538
19,"ARM","KONZ", 3.7521968592, 3.9038021662, 3.6005915522
20,"ARM","KONZ", 4.4581709830, 4.7998671984, 4.1164747677
21,"ARM","KONZ", 4.7571091422, 5.0343326926, 4.4798855918
22,"ARM","KONZ", 4.2684292410, 4.4772289261, 4.0596295559
23,"ARM","KONZ", 4.1500729889, 4.2554750972, 4.0446708806
24,"ARM","KONZ", 4.5138755050, 4.8134467812, 4.2143042287
25,"ARM","KONZ", 5.9199230899, 6.2663111237, 5.5735350560
26,"ARM","KONZ", 5.6994299559, 6.0803793284, 5.3184805833
27,"ARM","KONZ", 5.0209784142, 5.3618898737, 4.6800669548
28,"ARM","KONZ", 6.7272372381, 7.0780877961, 6.3763866801
29,"ARM","KONZ", 5.7140233975, 6.2370146454, 5.1910321496
30,"ARM","KONZ", 3.8839775787, 4.3715780977, 3.3963770597
31,"ARM","KONZ", 3.2666939020, 3.5581944856, 2.9751933183
32,"ARM","KONZ", 3.5600554311, 3.9964566399, 3.1236542222
33,"ARM","KONZ", 4.2336992707, 4.7839307791, 3.6834677623
34,"ARM","KONZ", 5.3683961815, 5.6996731309, 5.0371192322
35,"ARM","KONZ", 5.6481441054, 5.8993904695, 5.3968977412
36,"ARM","KONZ", 4.1972964412, 4.3723653173, 4.0222275651
37,"ARM","KONZ", 3.4672536168, 3.5965709048, 3.3379363288
