"week","site","neon","NEE_VUT_REF.avg","NEE_VUT_REF.upper","NEE_VUT_REF.lower"
 1,"Harvard","BART", 1.496478450, 1.637053251, 1.355903649
 2,"Harvard","BART", 1.573332400, 1.776726642, 1.369938158
 3,"Harvard","BART", 1.475834350, 1.644088783, 1.307579917
 4,"Harvard","BART", 1.652553900, 1.928108691, 1.376999109
 5,"Harvard","BART", 1.619351400, 1.925758640, 1.312944160
 6,"Harvard","BART", 1.813309100, 2.320943013, 1.305675187
 7,"Harvard","BART", 1.868840250, 2.401217566, 1.336462934
 8,"Harvard","BART", 1.871960300, 2.321477407, 1.422443193
 9,"Harvard","BART", 1.806608900, 2.283615655, 1.329602145
10,"Harvard","BART", 1.903547950, 2.418137792, 1.388958108
11,"Harvard","BART", 1.437694053, 1.690326243, 1.185061862
12,"Harvard","BART", 1.169248868, 1.278390919, 1.060106818
13,"Harvard","BART", 1.233665524, 1.367420156, 1.099910892
14,"Harvard","BART", 1.038039190, 1.147875322, 0.928203059
15,"Harvard","BART", 1.166895962, 1.322119786, 1.011672137
16,"Harvard","BART", 1.239207524, 1.383128613, 1.095286434
17,"Harvard","BART", 1.680026857, 1.913551347, 1.446502367
18,"Harvard","BART", 1.627464900, 1.922934701, 1.331995099
19,"Harvard","BART", 1.179209750, 1.404970825, 0.953448675
20,"Harvard","BART", 0.017004000, 0.412309288,-0.378301288
21,"Harvard","BART",-1.443524524,-0.985476852,-1.901572195
22,"Harvard","BART",-2.993969235,-2.540754772,-3.447183698
23,"Harvard","BART",-4.621895850,-4.184696630,-5.059095070
24,"Harvard","BART",-5.624710000,-5.195618997,-6.053801003
25,"Harvard","BART",-5.354756500,-4.839809560,-5.869703440
26,"Harvard","BART",-5.722845238,-5.147318545,-6.298371931
27,"Harvard","BART",-5.957085714,-5.623082000,-6.291089429
28,"Harvard","BART",-5.981547143,-5.626207177,-6.336887108
29,"Harvard","BART",-5.618591350,-5.156911259,-6.080271441
30,"Harvard","BART",-5.282314857,-4.810515308,-5.754114406
31,"Harvard","BART",-5.257593000,-4.861758749,-5.653427251
32,"Harvard","BART",-4.728617500,-4.402254383,-5.054980617
33,"Harvard","BART",-4.397446684,-3.985427367,-4.809466001
