system:time_start,OSBS,BART,SRER,KONZ
"Jan 1, 2001",60,0,63,13
"Jan 9, 2001",119,0,41,27
"Jan 17, 2001",110,0,44,13
"Jan 25, 2001",112,1,42,17
"Feb 2, 2001",141,0,58,18
"Feb 10, 2001",194,0,51,10
"Feb 18, 2001",204,3,80,25
"Feb 26, 2001",201,0,83,33
"Mar 6, 2001",182,0,94,57
"Mar 14, 2001",214,22,120,59
"Mar 22, 2001",280,15,126,62
"Mar 30, 2001",330,27,134,126
"Apr 7, 2001",325,104,119,201
"Apr 15, 2001",325,153,91,252
"Apr 23, 2001",414,260,69,437
"May 1, 2001",486,454,74,499
"May 9, 2001",381,598,30,688
"May 17, 2001",301,698,43,626
"May 25, 2001",306,643,18,675
"Jun 2, 2001",312,845,22,823
"Jun 10, 2001",340,912,21,848
"Jun 18, 2001",366,"1,010",12,839
"Jun 26, 2001",351,968,12,811
"Jul 4, 2001",297,900,95,653
"Jul 12, 2001",254,908,78,654
"Jul 20, 2001",264,888,94,493
"Jul 28, 2001",281,891,98,648
"Aug 5, 2001",334,781,82,600
"Aug 13, 2001",325,751,96,571
"Aug 21, 2001",364,768,26,536
"Aug 29, 2001",321,727,61,584
"Sep 6, 2001",260,683,40,528
"Sep 14, 2001",308,501,59,456
"Sep 22, 2001",329,455,20,442
"Sep 30, 2001",319,366,88,342
"Oct 8, 2001",272,241,73,299
"Oct 16, 2001",282,143,47,216
"Oct 24, 2001",213,82,50,156
"Nov 1, 2001",243,165,58,155
"Nov 9, 2001",209,56,61,117
"Nov 17, 2001",233,76,58,74
"Nov 25, 2001",213,96,44,36
"Dec 3, 2001",190,49,36,56
"Dec 11, 2001",179,15,26,45
"Dec 19, 2001",150,7,32,16
"Dec 27, 2001",80,0,28,4
"Jan 1, 2002",71,2,38,8
"Jan 9, 2002",145,8,36,39
"Jan 17, 2002",200,4,31,18
"Jan 25, 2002",193,21,31,25
"Feb 2, 2002",134,0,41,12
"Feb 10, 2002",181,5,43,44
"Feb 18, 2002",158,9,46,61
"Feb 26, 2002",116,14,40,11
"Mar 6, 2002",230,27,51,75
"Mar 14, 2002",265,33,44,79
"Mar 22, 2002",338,33,58,56
"Mar 30, 2002",335,93,45,81
"Apr 7, 2002",323,180,42,178
"Apr 15, 2002",305,331,64,203
"Apr 23, 2002",304,152,41,228
"May 1, 2002",327,400,51,347
"May 9, 2002",373,307,19,455
"May 17, 2002",421,473,34,492
"May 25, 2002",434,810,17,724
"Jun 2, 2002",345,747,6,776
"Jun 10, 2002",335,637,3,823
"Jun 18, 2002",287,938,0,774
"Jun 26, 2002",348,923,0,699
"Jul 4, 2002",358,869,1,588
"Jul 12, 2002",336,939,34,521
"Jul 20, 2002",360,952,49,432
"Jul 28, 2002",389,803,43,592
"Aug 5, 2002",442,783,38,544
"Aug 13, 2002",401,740,37,630
"Aug 21, 2002",368,749,19,606
"Aug 29, 2002",289,607,20,513
"Sep 6, 2002",313,576,74,412
"Sep 14, 2002",295,612,71,508
"Sep 22, 2002",290,450,33,469
"Sep 30, 2002",290,344,87,343
"Oct 8, 2002",266,164,57,299
"Oct 16, 2002",304,113,85,163
"Oct 24, 2002",227,71,86,72
"Nov 1, 2002",211,24,58,82
"Nov 9, 2002",218,115,58,87
"Nov 17, 2002",169,31,44,59
"Nov 25, 2002",151,8,52,31
"Dec 3, 2002",127,0,49,19
"Dec 11, 2002",142,10,43,52
"Dec 19, 2002",138,12,29,20
"Dec 27, 2002",81,0,21,23
"Jan 1, 2003",142,2,42,27
"Jan 9, 2003",124,0,46,13
"Jan 17, 2003",94,0,45,3
"Jan 25, 2003",146,0,45,21
"Feb 2, 2003",125,7,49,14
"Feb 10, 2003",178,0,49,29
"Feb 18, 2003",217,9,49,30
"Feb 26, 2003",205,1,49,13
"Mar 6, 2003",252,0,57,45
"Mar 14, 2003",290,30,58,103
"Mar 22, 2003",335,86,61,111
"Mar 30, 2003",270,19,55,125
"Apr 7, 2003",300,128,49,162
"Apr 15, 2003",309,191,66,240
"Apr 23, 2003",331,275,53,323
"May 1, 2003",340,372,63,477
"May 9, 2003",323,431,29,567
"May 17, 2003",300,617,2,654
"May 25, 2003",376,600,8,804
"Jun 2, 2003",315,802,2,776
"Jun 10, 2003",373,859,14,893
"Jun 18, 2003",382,878,12,817
"Jun 26, 2003",352,953,0,892
"Jul 4, 2003",356,816,0,830
"Jul 12, 2003",318,874,8,643
"Jul 20, 2003",290,779,21,584
"Jul 28, 2003",256,848,63,575
"Aug 5, 2003",260,737,13,583
"Aug 13, 2003",346,855,57,444
"Aug 21, 2003",304,819,69,394
"Aug 29, 2003",312,727,36,484
"Sep 6, 2003",371,734,54,499
"Sep 14, 2003",326,578,13,502
