system:time_start,pr,srad,etr,vpd,vs
"Jan 1, 2015",2.285,0,58.312,0.207,12.662
"Jan 2, 2015",1.104,0,58.441,0.103,10.029
"Jan 3, 2015",3.801,22.429,28.477,0.499,6.106
"Jan 4, 2015",1.404,9.182,48.753,0.191,4.635
"Jan 5, 2015",0.039,0,66.073,0,12.056
"Jan 6, 2015",1.074,1.614,34.529,0.107,6.931
"Jan 7, 2015",0.132,1.26,57.766,0.009,10.455
"Jan 8, 2015",1.074,5.511,75.909,0.094,10.733
"Jan 9, 2015",0.574,0,62.52,0.046,12.803
"Jan 10, 2015",1.079,0,81.845,0.092,12.387
"Jan 11, 2015",2.309,2.578,54.573,0.24,8.289
"Jan 12, 2015",0.07,3.11,26.119,0,6.747
"Jan 13, 2015",0.051,0,101.754,0,5.516
"Jan 14, 2015",0.516,0,107.71,0.066,3.441
"Jan 15, 2015",1.534,1.319,77.47,0.179,5.614
"Jan 16, 2015",0.306,0.472,76.982,0.023,10.03
"Jan 17, 2015",2.238,0,83.213,0.299,4.426
"Jan 18, 2015",2.297,0.472,47.449,0.302,5.454
"Jan 19, 2015",0.127,0,60.966,0.001,7.311
"Jan 20, 2015",0.117,0,76.044,0,3.298
"Jan 21, 2015",0.64,0,105.789,0.09,2.901
"Jan 22, 2015",0.956,0,105.468,0.133,3.604
"Jan 23, 2015",1.167,0,119.197,0.121,7.203
"Jan 24, 2015",1.077,0.433,99.731,0.115,6.368
"Jan 25, 2015",0.106,0,115.837,0,5.998
"Jan 26, 2015",0.763,4.212,89.092,0.071,7.29
"Jan 27, 2015",0.087,0,84.357,0,6.788
"Jan 28, 2015",0.824,0,119.903,0.089,4.838
"Jan 29, 2015",1.733,4.537,66.317,0.225,4.467
"Jan 30, 2015",0.093,0.403,73.345,0,8.464
"Jan 31, 2015",1.466,0,103.707,0.164,5.362
"Feb 1, 2015",0.442,10.176,97.135,0.035,6
"Feb 2, 2015",0.218,2.342,59.668,0.014,9.588
"Feb 3, 2015",1.413,1.092,107.061,0.137,7.401
"Feb 4, 2015",0.926,3.602,67.917,0.095,5.375
"Feb 5, 2015",0.111,0.512,114.854,0,7.222
"Feb 6, 2015",1.647,0.463,95.208,0.154,8.724
"Feb 7, 2015",1.362,0.915,59.661,0.167,4.436
"Feb 8, 2015",0.299,6.84,79.577,0.016,7.708
"Feb 9, 2015",0.912,0.384,64.017,0.09,5.827
"Feb 10, 2015",0.375,0,128.615,0.023,2.998
"Feb 11, 2015",1.243,1.712,120.874,0.149,3.878
"Feb 12, 2015",0.119,0.551,80.554,0,7.232
"Feb 13, 2015",1.133,0.738,148.242,0.103,6.862
"Feb 14, 2015",0.216,4.124,75.838,0.01,6.367
"Feb 15, 2015",0.069,0.846,112.406,0,9.655
"Feb 16, 2015",0.404,0,179.458,0.027,5.183
"Feb 17, 2015",0.699,0,154.473,0.072,3.176
"Feb 18, 2015",0.389,1.752,83.759,0.028,4.046
