system:time_start,pr,srad,vs,etr,vpd,rmax,rmin,tmmn,tmmx
"Jan 1, 2016",1.295,0.677,77.318,53.966,43.391,267.459,273.789,0.184,3.909
"Jan 2, 2016",1.678,0,67.065,48.577,73.668,267.539,273.309,0.217,5.244
"Jan 3, 2016",1.012,0.887,100,54.006,66.473,263.259,273.719,0.128,4.744
"Jan 4, 2016",0.765,0,100,52.105,67.417,255.979,265.859,0.078,6.384
"Jan 5, 2016",1.208,0,70.845,29.424,95.137,256.429,268.579,0.172,3.631
"Jan 6, 2016",1.522,0,81.068,27.878,90.051,259.689,274.659,0.258,3.065
"Jan 7, 2016",1.104,0,76.186,29.788,77.639,263.069,276.689,0.3,1.595
"Jan 8, 2016",0.995,0,89.653,45.936,91.718,264.709,275.049,0.196,2.49
"Jan 9, 2016",1.261,1.802,76.865,60.806,57.73,270.239,274.989,0.184,3.926
"Jan 10, 2016",1.62,47.86,100,55.748,34.769,268.919,280.539,0.177,7.167
"Jan 11, 2016",1.497,0.868,87.071,44.652,75.939,260.769,270.799,0.151,7.819
"Jan 12, 2016",0.779,9.202,99.387,56.272,63.02,260.229,269.039,0.093,4.427
"Jan 13, 2016",0.9,0.315,100,50.396,70.419,256.089,266.809,0.084,7.915
"Jan 14, 2016",0.903,0,92.71,40.831,73.917,256.889,268.569,0.129,3.179
"Jan 15, 2016",0.784,0.744,97.316,52.366,73.756,261.829,271.379,0.124,2.74
"Jan 16, 2016",0.508,4.749,100,68.348,64.546,265.319,273.739,0.067,2.844
"Jan 17, 2016",1.135,1.058,73.671,48.855,97.884,264.899,271.769,0.177,3.279
"Jan 18, 2016",1.17,2.126,85.135,46.628,38.317,258.999,268.069,0.121,6.103
"Jan 19, 2016",1.45,0,60.912,41.329,82.586,258.489,264.709,0.129,9.866
"Jan 20, 2016",1.618,0,61.789,38.619,109.323,260.649,267.969,0.167,7.102
"Jan 21, 2016",1.548,0,62.663,35.126,111.051,258.819,267.389,0.162,6.634
"Jan 22, 2016",1.733,0,69.46,27.242,112.156,257.669,270.619,0.206,5.082
