system:time_start,pr,srad,vs,etr,vpd,rmax,rmin,tmmn,tmmx
"Jan 1, 2016",2.342,0,83.093,33.001,94.613,265.126,278.949,0.324,4.496
"Jan 2, 2016",2.452,0,80.527,30.298,93.977,266.416,281.079,0.393,3.666
"Jan 3, 2016",1.638,0,94.307,40.867,94.27,265.146,277.889,0.249,3.441
"Jan 4, 2016",0.661,0,92.603,67.589,96.283,264.576,270.399,0.084,2.998
"Jan 5, 2016",2.065,0.578,99.409,42.303,92.677,266.016,279.119,0.256,5.392
"Jan 6, 2016",1.409,1.48,75.817,71.652,41.937,274.136,276.649,0.176,4.759
"Jan 7, 2016",0.774,7.561,91.785,74.944,24.206,274.446,279.029,0.126,2.862
"Jan 8, 2016",0.567,0,100,75.527,32.103,268.576,275.439,0.052,5.493
"Jan 9, 2016",0.396,0,100,63.94,42.363,256.306,268.619,0.03,7.33
"Jan 10, 2016",1.196,0,94.885,34.183,101.533,255.656,269.829,0.154,3.594
"Jan 11, 2016",2.36,0,68.601,37.004,75.065,268.896,278.789,0.344,4.146
"Jan 12, 2016",1.131,0,75.805,51.64,100.231,265.896,272.589,0.175,2.739
"Jan 13, 2016",3.242,0,77.93,28.575,98.93,269.866,285.239,0.537,3.931
"Jan 14, 2016",3.566,0,83.905,32.667,100.456,272.296,287.159,0.561,4.596
"Jan 15, 2016",0.943,0,100,60.848,97,264.716,274.689,0.1,4.954
"Jan 16, 2016",1.316,0,100,36.779,92.888,259.996,275.809,0.211,2.606
"Jan 17, 2016",0.524,0,88.99,65.822,96.321,256.546,261.939,0.049,4.779
"Jan 18, 2016",1.434,0,77.401,27.005,90.366,257.306,271.899,0.216,2.837
"Jan 19, 2016",1.334,0.59,61.419,57.781,32.769,267.476,269.959,0.171,4.255
"Jan 20, 2016",1.065,7.098,79.145,62.037,89.978,268.076,273.019,0.148,2.976
"Jan 21, 2016",0.576,2.971,100,75.698,48.916,265.776,271.239,0.054,4.011
"Jan 22, 2016",0.981,0,79.104,66.374,107.041,267.146,271.179,0.12,3.415
"Jan 23, 2016",0.913,0,100,61.171,106.799,264.556,273.249,0.102,3.799
"Jan 24, 2016",1.5,0,100,50.321,82.502,267.326,280.149,0.204,3.69
"Jan 25, 2016",1.166,0,89.013,68.703,62.305,269.876,275.109,0.124,5.371
"Jan 26, 2016",1.383,0,100,49.56,114.292,266.186,277.579,0.193,3.173
"Jan 27, 2016",2.611,0,100,33.805,109.401,266.706,283.809,0.395,3.799
"Jan 28, 2016",2.754,0,90.673,36.582,114.781,270.356,284.569,0.431,3.835
"Jan 29, 2016",4.421,0,100,27.629,115.364,271.266,291.699,0.732,4.363
"Jan 30, 2016",2.522,0,100,36.494,115.648,271.476,287.849,0.496,2.68
"Jan 31, 2016",2.264,0,88.519,49.581,114.072,273.013,282.804,0.317,4.226
"Feb 1, 2016",0.26,0,100,77.474,92.884,263.838,275.193,0,4.932
"Feb 2, 2016",0.17,0,100,100,62.59,262.97,271.132,0,6.999
"Feb 3, 2016",1.499,0,81.453,58.378,108.079,266.576,272.514,0.15,6.276
"Feb 4, 2016",3.213,0,66.524,23.606,129.135,268.404,283.815,0.551,3.254
"Feb 5, 2016",2.185,0,77.262,34.614,108.772,268.314,280.654,0.377,2.714
"Feb 6, 2016",3.476,0,73.259,30.258,129.934,272.254,286.054,0.581,3.666
"Feb 7, 2016",1.443,0,100,57.264,81.169,266.047,275.435,0.141,6.699
"Feb 8, 2016",0.733,0,100,68.573,93.32,261.711,269.387,0.055,9.58
"Feb 9, 2016",2.399,0,81.405,34.787,134.414,263.7,276.306,0.27,5.476
"Feb 10, 2016",5.563,0,46.025,15.544,130.132,277.012,293.566,1.211,3.349
"Feb 11, 2016",4.556,0,39.811,17.236,117.059,277.722,290.546,1.061,2.807
"Feb 12, 2016",3.116,0,76.577,31.999,110.757,268.697,282.027,0.427,4.46
"Feb 13, 2016",4.663,0.359,35.755,16.508,117.83,269.879,280.992,0.589,5.859
"Feb 14, 2016",2.996,0,88.413,31.06,138.765,268.358,284.21,0.466,3.444
"Feb 15, 2016",2.746,0,100,36.676,141.893,268.024,284.824,0.398,3.656
"Feb 16, 2016",6.79,0,79.84,21.595,141.571,274.123,294.433,1.034,5.637
"Feb 17, 2016",5.632,0,82.776,21.036,142.948,273.671,294.888,1.057,3.817
"Feb 18, 2016",5.431,0,100,36.528,142.731,273.225,293.685,0.639,8.328
"Feb 19, 2016",5.455,12.146,66.176,29.553,150.207,276.948,289.959,0.792,5.574
"Feb 20, 2016",3.568,0,80.231,31.867,149.113,273.195,287.743,0.61,3.302
"Feb 21, 2016",4.662,0,89.439,26.041,150.818,273.266,292.497,0.841,3.565
"Feb 22, 2016",5.356,0,50.089,17.551,146.146,279.868,296.384,1.396,2.661
"Feb 23, 2016",3.667,0,84.849,34.856,130.976,272.172,286.179,0.517,4.53
"Feb 24, 2016",0.731,0,100,72.768,159.52,264.121,272.448,0.039,5.718
"Feb 25, 2016",2.014,0,100,44.639,95.794,263.829,277.711,0.205,6.242
"Feb 26, 2016",3.025,0,89.15,30.765,155.658,266.934,282.873,0.426,3.62
"Feb 27, 2016",4.513,0,100,29.562,165.172,267.47,287.788,0.541,6.113
"Feb 28, 2016",4.2,0,100,39.366,161.587,272.573,287.696,0.478,7.029
"Feb 29, 2016",3.037,0,100,37.328,162.003,267.268,285.318,0.345,5.399
"Mar 1, 2016",3.05,0,77.109,37.19,182.896,270.061,280.586,0.353,4.981
"Mar 2, 2016",6.826,0.79,68.654,18.139,156.359,273.232,291.496,0.908,6.467
"Mar 3, 2016",3.51,0,94.232,33.434,184.357,271.271,286.276,0.479,3.991
"Mar 4, 2016",6.359,0,97.553,17.599,175.921,271.072,294.996,1.021,4.451
"Mar 5, 2016",5.132,0,74.111,17.499,192.23,273.441,293.406,1.003,2.998
"Mar 6, 2016",8.743,0,56.775,27.133,120.38,285.121,296.236,1.263,7.947
"Mar 7, 2016",7.407,0,77.086,41.085,182.545,287.251,297.576,1.007,8.169
"Mar 8, 2016",2.069,1.801,100,61.462,161.829,277.371,289.636,0.177,4.531
"Mar 9, 2016",3.11,0,100,38.035,180.938,274.352,290.076,0.519,2.45
"Mar 10, 2016",3.932,0,85.667,21.213,197.195,274.892,294.926,1.012,1.686
"Mar 11, 2016",6.266,0,69.481,18.883,202.168,277.322,295.826,1.176,3.637
"Mar 12, 2016",2.809,0.461,83.235,55.203,72.805,282.911,289.926,0.478,3.506
"Mar 13, 2016",3.105,0,100,43.825,145.955,279.491,292.826,0.572,2.383
"Mar 14, 2016",6.716,0,100,26.778,200.824,279.602,299.856,1.19,4.314
"Mar 15, 2016",4.507,0,100,36.219,133.831,274.771,290.916,0.574,5.94
"Mar 16, 2016",5.518,0,61.76,16.467,134.65,272.591,290.296,0.882,4.163
"Mar 17, 2016",5.406,1.357,55.561,14.743,210.13,272.751,290.146,0.912,3.424
"Mar 18, 2016",3.305,0.444,69.678,28.741,72.776,269.202,281.456,0.432,4.76
"Mar 19, 2016",3.637,0,54.741,29.289,125.992,270.271,278.876,0.414,5.867
"Mar 20, 2016",3.776,0,69.204,26.682,181.01,269.941,283.096,0.492,4.102
"Mar 21, 2016",8.726,0,65.548,15.853,221.132,274.711,294.126,1.103,7.413
"Mar 22, 2016",9.535,0,71.171,21.266,216.249,280.991,298.796,1.369,7.062
"Mar 23, 2016",8.826,1.065,100,22.459,214.401,272.551,300.166,1.159,7.106
"Mar 24, 2016",4.412,0,88.77,28.843,195.63,268.391,284.096,0.456,7.211
"Mar 25, 2016",5.652,1.473,86.299,20.305,178.405,270.042,290.016,0.751,5.158
"Mar 26, 2016",2.162,4.56,100,53.781,110.064,273.382,284.346,0.243,4.168
"Mar 27, 2016",4.783,0,72.774,25.474,226.066,272.262,286.996,0.628,4.351
"Mar 28, 2016",7.299,0,69.258,16.027,233.112,273.831,293.866,1.066,4.954
"Mar 29, 2016",8.259,0,55.38,26.087,189.21,282.132,293.166,1.064,7.84
"Mar 30, 2016",6.873,0,100,33.055,184.412,281.771,299.496,1.047,5.586
"Mar 31, 2016",4.359,0,97.79,40.922,196.137,275.188,288.717,0.479,6.357
"Apr 1, 2016",4.284,0,83.329,31.563,194.414,270.398,284.557,0.465,6.179
"Apr 2, 2016",6.511,0,69.391,17.675,243.381,273.528,292.787,0.978,4.221
"Apr 3, 2016",10.581,0,54.833,12.899,250.207,280.458,300.937,1.764,5.52
"Apr 4, 2016",6.648,0,57.521,25.155,249.6,280.598,293.127,1.029,4.333
"Apr 5, 2016",11.839,4.166,76.879,18.026,242.405,280.948,302.757,1.717,7.564
"Apr 6, 2016",7.655,0,53.814,27.974,252.606,281.518,291.647,0.961,6.934
"Apr 7, 2016",7.568,0,72.133,19.837,255.764,273.448,291.827,0.893,7.04
"Apr 8, 2016",6.437,0,69.479,18.004,259.599,273.138,292.127,0.936,4.187
"Apr 9, 2016",7.644,0,85.05,21.778,254.131,273.808,293.597,0.924,6.826
"Apr 10, 2016",6.846,0,92.892,34.584,248.747,281.128,296.857,0.914,5.754
"Apr 11, 2016",5.221,0,81.216,26.407,236.992,272.648,289.017,0.669,4.528
"Apr 12, 2016",6.577,0,60.478,17.103,265.9,274.638,292.327,0.998,3.932
"Apr 13, 2016",6.798,0,92.34,24.189,261.46,276.698,296.817,1.061,4.011
"Apr 14, 2016",7.087,0,89.724,28.335,264.29,279.248,297.047,1.03,4.769
"Apr 15, 2016",8.208,0,79.872,32.827,250.485,283.928,298.257,1.111,6.695
"Apr 16, 2016",7.343,0,75.21,44.927,200.197,287.598,296.607,0.912,8.382
"Apr 17, 2016",3.534,22.934,81.81,65.964,138.103,286.848,291.457,0.432,5.018
"Apr 18, 2016",2.61,4.113,91.96,71.335,171.33,284.178,289.377,0.256,2.276
"Apr 19, 2016",4.289,32.16,82.295,48.159,187.292,283.218,292.387,0.619,3.553
"Apr 20, 2016",4.872,0,84.403,44.211,218.594,281.908,292.627,0.652,4.16
"Apr 21, 2016",6.183,0,76.468,36.798,205.146,282.348,294.187,0.853,5.374
"Apr 22, 2016",5.473,0,78.514,35.716,276.647,282.268,294.947,0.889,2.734
"Apr 23, 2016",9.652,0,73.904,27.277,274.825,285.018,300.877,1.433,6.251
"Apr 24, 2016",8.87,47.403,90.894,37.408,263.591,286.188,300.937,1.13,8.036
"Apr 25, 2016",5.641,0,84.882,45.287,226.172,287.848,298.717,0.925,3.498
"Apr 26, 2016",4.911,93.081,100,55.176,223.878,286.408,298.527,0.544,5.612
"Apr 27, 2016",3.224,0,100,59.718,236.347,278.938,290.907,0.241,5.822
"Apr 28, 2016",4.398,0.558,83.841,49.482,261.417,279.698,288.567,0.467,4.539
"Apr 29, 2016",2.133,23.46,87.059,74.948,98.291,281.058,284.667,0.193,6.43
"Apr 30, 2016",3.998,0,91.395,53.638,248.256,280.815,289.763,0.429,3.612
"May 1, 2016",3.257,0,81.066,59.707,144.29,280.945,286.543,0.365,4.96
"May 2, 2016",3.791,0,90.369,42.306,196.334,278.435,290.423,0.557,2.587
"May 3, 2016",5.977,0,80.021,30.697,292.254,280.505,295.293,0.956,2.9
"May 4, 2016",6.984,0,82.616,28.765,298.951,278.815,294.843,0.935,4.69
"May 5, 2016",6.046,0,76.288,23.304,297.068,280.735,298.633,1.291,1.905
"May 6, 2016",8.886,0,78.259,26.162,296.568,284.665,301.843,1.499,4.442
"May 7, 2016",8.727,0,72.36,29.802,290.911,288.835,303.223,1.631,3.996
"May 8, 2016",4.971,3.681,79.925,62.41,202.229,289.705,294.663,0.595,5.553
"May 9, 2016",5.279,3.298,100,51.164,256.541,284.025,298.523,0.555,5.691
"May 10, 2016",6.316,5.077,98.067,36.364,289.783,285.435,301.643,1.146,2.484
"May 11, 2016",4.702,0,100,54.285,257.36,283.455,295.563,0.468,5.033
"May 12, 2016",6.616,0,73.438,30.813,303.946,282.215,295.733,1.028,3.326
"May 13, 2016",9.106,0,100,25.346,254.373,278.525,301.063,1.26,6.264
"May 14, 2016",6.009,0,63.215,30.295,286.989,278.075,289.123,0.744,4.618
"May 15, 2016",4.158,1.013,63.473,33.015,129.649,280.915,291.053,0.825,2.531
"May 16, 2016",1.85,15.264,86.934,76,74.914,282.585,285.843,0.208,4.475
"May 17, 2016",3.354,0.484,100,54.183,185.945,278.675,290.503,0.341,4.342
"May 18, 2016",4.595,0,93.071,42.236,199.767,280.385,293.023,0.641,3.595
"May 19, 2016",4.288,2.589,81.742,46.665,204.618,282.855,292.183,0.635,2.807
"May 20, 2016",3.268,0,93.586,57.963,137.923,283.755,292.103,0.437,3.392
"May 21, 2016",5.406,0,85.778,51.014,248.295,285.645,294.593,0.656,4.675
"May 22, 2016",8.176,0,89.124,45.107,299.732,289.235,300.903,1.018,6.859
"May 23, 2016",4.839,17.684,98.906,63.025,244.524,288.605,296.823,0.463,5.953
"May 24, 2016",5.232,21.129,100,54.773,247.836,288.815,300.553,0.655,3.607
"May 25, 2016",5.018,16.671,100,64.165,268.771,290.345,300.243,0.43,5.579
"May 26, 2016",3.568,70.016,100,64.365,210.781,287.585,301.193,0.23,4.56
"May 27, 2016",4.09,11.324,100,61.597,199.065,287.605,297.843,0.423,4.579
"May 28, 2016",5.895,0,97.678,50.453,286.857,286.905,298.213,0.715,4.148
"May 29, 2016",7.662,2.105,82.035,35.174,302.538,288.985,303.033,1.415,3.166
"May 30, 2016",7.92,0,82.371,40.834,303.754,290.295,302.243,1.253,4.194
"May 31, 2016",5.006,0,100,50.593,241.732,287.935,298.948,0.732,2.644
"Jun 1, 2016",6.707,0,85.839,35.986,324.592,286.475,299.768,1.135,2.529
"Jun 2, 2016",7.086,0,86.355,32.308,325.869,286.555,301.528,1.314,2.455
"Jun 3, 2016",7.306,1.46,98.954,41.21,325.237,288.545,302.488,1.103,3.456
"Jun 4, 2016",8.612,0,87.331,35.19,327.065,287.175,301.158,1.23,5.083
"Jun 5, 2016",8.16,0,76.526,29.057,332.199,287.605,302.098,1.51,3.113
