system:time_start,pr,srad,vs,etr,vpd,rmax,rmin,tmmn,tmmx
"Jan 1, 2016",2.495,7.372,100,53.283,53.452,283.156,298.678,0.489,3.517
"Jan 2, 2016",2.239,9.432,87.781,65.1,92.143,281.356,287.208,0.31,4.517
"Jan 3, 2016",2.157,4.514,83.505,57.937,39.253,279.046,285.738,0.35,4.089
"Jan 4, 2016",3.794,0,81.542,36.468,168.253,276.596,289.318,0.617,3.985
"Jan 5, 2016",1.894,0,100,67.946,125.534,278.376,285.888,0.19,6.778
"Jan 6, 2016",1.385,0,100,73.545,70.791,279.476,286.608,0.131,7.034
"Jan 7, 2016",1.496,4.272,100,69.823,92.909,281.876,289.508,0.208,2.629
"Jan 8, 2016",2.094,0,88.195,66.016,133.864,286.386,292.258,0.415,1.875
"Jan 9, 2016",2.428,0,87.693,66.871,100.303,286.836,292.438,0.416,3.395
"Jan 10, 2016",2.185,0,100,55.767,165.541,274.786,290.918,0.223,5.893
"Jan 11, 2016",2.85,0,88.404,35.282,181.836,271.856,285.808,0.475,2.929
"Jan 12, 2016",3.544,0,85.639,26.763,153.143,271.386,288.558,0.643,3.04
"Jan 13, 2016",2.914,0,75.417,32.301,168.84,274.186,287.188,0.59,2.339
"Jan 14, 2016",2.838,0,96.38,36.458,176.25,274.856,289.978,0.581,2.218
"Jan 15, 2016",3.624,10.159,100,51.134,121.532,281.836,295.728,0.515,5.624
"Jan 16, 2016",2.661,26.68,100,51.071,158.806,282.516,294.498,0.548,2.115
"Jan 17, 2016",2.136,0,100,55.202,129.854,275.116,288.648,0.258,4.505
"Jan 18, 2016",3.87,0,84.229,33.591,184.955,273.176,287.208,0.547,4.539
"Jan 19, 2016",3.212,0,75.7,29.788,190.351,270.186,283.948,0.487,3.42
"Jan 20, 2016",2.488,0,100,28.401,185.645,270.946,290.348,0.649,1.342
"Jan 21, 2016",3.272,0,100,35.131,135.899,275.346,293.878,0.687,2.523
"Jan 22, 2016",3.053,9.099,100,49.585,94.327,275.746,293.188,0.364,6.92
"Jan 23, 2016",1.995,0,94.854,57.594,137.972,270.426,278.658,0.184,8.102
"Jan 24, 2016",2.972,0,86.088,31.17,193.685,270.246,285.308,0.492,2.767
"Jan 25, 2016",2.701,0,100,28.388,193.293,270.686,292.668,0.705,1.342
"Jan 26, 2016",2.855,19.167,99.024,46.605,171.173,281.976,294.648,0.634,1.848
"Jan 27, 2016",2.145,3.504,86.346,57.502,68.28,286.036,293.638,0.559,1.842
"Jan 28, 2016",0.673,4.847,100,86.06,73.2,278.516,287.578,0,2.756
"Jan 29, 2016",4.453,0,99.027,34.765,198.719,275.756,292.078,0.671,4.347
"Jan 30, 2016",2.974,0,100,34.554,191.895,275.386,293.038,0.684,1.688
"Jan 31, 2016",1.679,0,100,63.243,165.362,276.695,288.249,0.172,2.031
"Feb 1, 2016",1.965,0,100,53.814,186.497,274.243,292.995,0.22,1.758
"Feb 2, 2016",1.219,0,100,73.116,183.933,275.916,293.247,0,4.19
"Feb 3, 2016",1.011,0,100,76.167,138.968,277.548,294.81,0,5.034
"Feb 4, 2016",0.478,0,100,100,57.348,278.929,284.809,0,4.528
"Feb 5, 2016",5.003,0,80.134,33.447,200.903,276.895,290.422,0.685,5.347
"Feb 6, 2016",3.745,0,100,35.765,48.136,277.001,294.959,0.722,3.81
"Feb 7, 2016",8.42,69.609,56.814,18.123,170.31,280.165,296.976,1.355,5.815
"Feb 8, 2016",7.357,0,53.965,26.708,198.409,283.813,294.898,1.184,5.575
"Feb 9, 2016",6.808,0,80.154,21.741,160.592,274.536,293.643,0.952,6.067
"Feb 10, 2016",5.719,0,55.686,19.629,212.231,274.337,289.14,0.833,4.781
