system:time_start,OSBS,BART,SRER,KONZ
"Apr 2, 2015",10.227,25.179,2.255,13.97
"Apr 5, 2015",10.387,25.354,2.17,12.059
"Apr 8, 2015",8.062,25.356,2.221,11.926
"Apr 11, 2015",11.306,22.732,2.441,14.566
"Apr 14, 2015",11.337,19.945,2.369,12.653
"Apr 17, 2015",10.079,22.858,2.217,19.346
"Apr 20, 2015",14.227,25.047,2.223,13.345
"Apr 23, 2015",8.015,24.018,2.412,17.054
"Apr 26, 2015",11.74,21.417,3.547,14.868
"Apr 29, 2015",12.507,19.136,2.422,12.227
"May 2, 2015",6.787,13.924,3.234,13.409
"May 5, 2015",6.29,10.201,2.501,22.835
"May 8, 2015",4.729,6.932,2.2,19.787
"May 11, 2015",5.599,8.354,2.162,16.653
"May 14, 2015",4.708,5.539,2.162,24.756
"May 17, 2015",5.84,8.22,2.162,22.982
"May 20, 2015",6.281,7.425,2.184,24.727
"May 23, 2015",3.436,6.084,2.217,24.819
"May 26, 2015",5.138,6.453,2.274,24.197
"May 29, 2015",3.18,9.606,2.215,22.848
"Jun 1, 2015",14.43,23.738,2.247,21.439
"Jun 4, 2015",10.933,18.469,2.45,25.398
"Jun 7, 2015",8.828,18.758,3.34,21.864
"Jun 10, 2015",11.517,18.837,2.651,22.422
"Jun 13, 2015",6.622,19.159,2.397,25.043
"Jun 16, 2015",5.548,18.942,2.273,21.153
"Jun 19, 2015",6.31,17.786,2.169,19.477
"Jun 22, 2015",8.11,20.17,2.162,18.086
"Jun 25, 2015",14.128,17.604,2.164,19.311
"Jun 28, 2015",13.075,22.127,2.162,14.468
"Jul 1, 2015",10.17,22.672,2.182,15.603
"Jul 4, 2015",13.665,16.192,2.705,16.22
"Jul 7, 2015",15.808,11.852,2.473,19.978
"Jul 10, 2015",11.299,7.283,2.675,15.823
"Jul 13, 2015",12.807,6.165,2.671,13.576
"Jul 16, 2015",20.456,6.512,2.686,15.93
"Jul 19, 2015",21.389,8.9,2.597,19.785
"Jul 22, 2015",19.225,7.307,2.925,15.71
"Jul 25, 2015",23.18,8.29,2.264,13.881
"Jul 28, 2015",24.249,8.497,2.408,14.018
"Jul 31, 2015",22.942,5.922,2.403,12.244
"Aug 3, 2015",23.996,4.519,2.452,14.003
"Aug 6, 2015",23.107,2.507,2.556,13.505
"Aug 9, 2015",17.879,9.396,3.012,15.195
"Aug 12, 2015",23.899,13.488,2.194,10.977
"Aug 15, 2015",24.221,11.422,2.178,9.232
"Aug 18, 2015",25.033,7.827,2.166,15.98
"Aug 21, 2015",24.935,8.688,2.209,10.262
"Aug 24, 2015",22.702,6.961,2.228,9.057
"Aug 27, 2015",25.176,5.054,2.219,11.542
"Aug 30, 2015",25.338,3.127,2.195,9.077
"Sep 2, 2015",24.559,3.205,2.162,9.766
"Sep 5, 2015",25.4,2.534,3.205,7.801
"Sep 8, 2015",25.238,2.805,3.103,8.072
